method,mean,std
combined,-71.16458372535149,10.032494831076637
proactive,-72.0284442199553,14.14942556578019
PPO Agent,-72.41979807103473,13.86449054359829
thi_threshold,-75.73445921994995,11.404738360607798
cbt_threshold,-90.70336813834176,12.998602025365674
no_action,-393.62525817890156,72.39762316770044
