baseline,mean_reward,std_reward,min_reward,max_reward
no_action,-395.1053034874871,67.77610871883563,-489.9701491999429,-279.0534889863211
thi_threshold,-76.13325865109617,12.305606750777988,-108.60963599944718,-51.52861253883063
cbt_threshold,-90.00091369761769,14.040091811505409,-119.05110335160292,-56.33608074449912
combined,-74.98101715660285,12.337479646607868,-104.08364058550103,-43.37523175556737
proactive,-72.16637375948886,11.921167614985706,-109.85048473597766,-47.46510668850441
